-Nuevo-Baztan, "40.3481321057554,-3.2510258225"
-Olmeda-de-las-Fuentes, "40.3753312876069,-3.2307490295"
-Orusco-de-Tajuna, "40.2711702419338,-3.2351875083"
-Paracuellos-de-Jarama, "40.5137873730721,-3.5151619181"
-Parla, "40.2366188660568,-3.7684473064"
-Patones, "40.8599925035172,-3.4988924185"
-Pelayos-de-la-Presay-San-Mames, "40.3677890102147,-4.3827216097"
-Perales-de-Tajuna, "40.2450488556734,-3.3346742723"
-Pinto, "40.2408252873516,-3.6997603521"
-Pinu, "40.2042640978968,-3.9954484415"
-Pozuelo-de-Alarcon, "40.4425159740896,-3.8144828683"
-Pozuelo-del-Rey, "40.3502818407872,-3.2871744582"
-Pradena-del-Rincon, "41.0434292255399,-3.5253647083"
-Puebla-de-la-Sierra, "41.0728331651934,-3.4952490587"
-Puentes-de-Fuencarral, "40.5297128705803,-3.6714228742"
-Quijorna, "40.4523821892783,-4.0956611892"
-Rascafria, "40.8970479390302,-3.8867803683"
-Reduena, "40.8195067509051,-3.5709617376"
-Rivas-Vaciamadrid, "40.3470374527274,-3.5128540414"
-Robledillo-de-la-Jara, "40.9582198028739,-3.5372699234"
-Robledo-de-Chavela, "40.4868965608584,-4.2294989646"
-Robregordo, "41.1181242177767,-3.5568139649"
-Rozas-de-Puerto-Real, "40.3401142489166,-4.4768932129"
-Rozas-Las, "40.5062071115569,-3.8736190227"
-San-Agustin-del-Guadalix, "40.6817519941842,-3.6002491734"
-San-Fernando-de-Henares, "40.4291039989378,-3.5313913215"
-San-Lorenzo-del-Escorial, "40.5918468579892,-4.1453151336"
-San-Martin-de-la-Vega, "40.2071926508756,-3.5712144957"
-San-Martin-de-Valdeiglesias, "40.3658796793527,-4.4120213452"
-San-Sebastian-de-los-Reyes, "40.5486796839383,-3.6204865731"
-Santa-Maria-de-la-Alameda, "40.6595734457826,-4.2479234097"
-Santorcaz, "40.4611866304941,-3.2826282982"
-Serna-del-Monte-La, "41.0232692728466,-3.6622210765"
-Serranillos-del-Valle, "40.2308971475966,-3.8769348793"
-Sevilla-la-Nueva, "40.3190131300725,-4.0097295702"
-Soto-del-Real, "40.7493442504825,-3.7861739287"
-Torrelaguna, "40.8351981552151,-3.5257453912"
-Torrelodones, "40.5803568506821,-3.9297014821"
-Torrejon-de-Ardoz, "40.4587621494901,-3.4714866589"
-Torrejon-de-la-Calzada, "40.2174760182163,-3.8051301297"
-Torrejon-de-Velasco, "40.2128728283113,-3.8004802244"
-Tres-Cantos, "40.6064030297877,-3.7126117461"
-Valdemanco, "40.8710316507353,-3.6628327609"
-Valdemaqueda, "40.5276103288328,-4.2604201545"
-Valdemorillo, "40.4962740755113,-4.0798830028"
-Valdemoro, "40.1901052320476,-3.6742938035"
-Valdeolmos-Alalpardo, "40.6322953321611,-3.4795063542"
-Valdetorres-de-Jarama, "40.7015638555509,-3.5143711716"
-Valdilecha, "40.3012602922079,-3.2909850149"
-Valverde-de-Alcala, "40.3787935118509,-3.2698241392"
-Velilla-de-San-Antonio, "40.3585864920258,-3.4972545297"
-Vellon-El, "40.7759219938056,-3.5668492207"
-Venturada, "40.7936183823043,-3.5963386431"
-Villa-del-Prado, "40.3029053712274,-4.3532435434"
-Villaconejos, "40.1194701673604,-3.4557296736"
-Villalbilla, "40.4845979176143,-3.3064372114"
-Villamanrique-de-Tajo, "40.0897453356921,-3.2113572446"
-Villamanta, "40.3349519811011,-4.0858811817"
-Villamantilla, "40.3650659668724,-4.1395948787"
-Villanueva-de-la-Canada, "40.4467629738564,-3.9831121104"
-Villanueva-de-Perales, "40.3637910361554,-4.0834212375"
-Villanueva-del-Pardillo, "40.4981323734517,-3.9812476938"
-Villar-del-Olmo, "40.3398503293299,-3.2355990619"
-Villarejo-de-Salvanes, "40.1587416204632,-3.2922676603"
-Villaviciosa-de-Odon, "40.3567899746966,-3.9008622936"
-Villavieja-del-Lozoya, "40.9987367015366,-3.6557154463"
-Zarzalejo, "40.5792711707241,-4.1825100128"
"- Zarzalejo	40.5449968240231,-4.1709139501"
